"","token","count"
"1","rt",25
"2","r",17
"3","new",10
"4","i",10
"5","#datascience",8
"6","data",6
"7","a",6
"8","@rstudio",6
"9","cran",5
"10","via",4
"11","how",4
"12","notebooks",4
"13","tidy",4
"14","@rbloggers",4
"15","package",4
"16","code",3
"17","updates",3
"18","…",3
"19","me",3
"20","notebook",3
"21","w",3
"22","features",3
"23","distributed",3
"24","@jennybryan",3
"25","packages",3
"26","big",3
"27","rstudio",3
"28","election",3
"29","shiny",3
"30","when",3
"31","0",2
"32","continues",2
"33","#ggplot2",2
"34","use",2
"35","announcing",2
"36","learn",2
"37","@rastrau",2
"38","good",2
"39","#rstudio",2
"40","@jeanmanguy",2
"41","programming",2
"42","needed",2
"43","ideas",2
"44","text",2
"45","find",2
"46","get",2
"47","unabated",2
"48","future",2
"49","modeling",2
"50","bayesian",2
"51","fun",2
"52","rtools",2
"53","surveillance",2
"54","v1",2
"55","#python",2
"56","¯",2
"57","tests",2
"58","like",2
"59","@revoandrie",2
"60","growth",2
"61","would",2
"62","#data",2
"63","submit",2
"64","files",2
"65","i've",2
"66","#enfrançais",2
"67","made",2
"68","intro",2
"69","asynchronous",2
"70","check",2
"71","@yrochat",2
"72","nice",2
"73","stan",2
"74","e",2
"75",":/",1
"76","@datacamp",1
"77","#louisville",1
"78","@sqlchicken",1
"79","program",1
"80","updated",1
"81","very",1
"82","cool",1
"83","open-source",1
"84","try",1
"85","guy",1
"86","binpref",1
"87","@visnut",1
"88","visuals",1
"89","dealing",1
"90","quickpsy",1
"91","what",1
"92","adds",1
"93","repository",1
"94","@j",1
"95","#nlme",1
"96","version",1
"97","@drob",1
"98","#analytics",1
"99","million",1
"100","zelig",1
"101","never",1
"102","address",1
"103","101",1
"104","psychometric",1
"105","search",1
"106","reshaped",1
"107","technical",1
"108","ecospat",1
"109","studied",1
"110","bot",1
"111","i'd",1
"112","curve-fitting",1
"113","useful",1
"114","@slate",1
"115","app",1
"116","api",1
"117","@scientisttrump",1
"118","apply",1
"119","crime",1
"120","plot",1
"121","working",1
"122","two",1
"123","preview",1
"124","@analyticsvidhya",1
"125","today",1
"126","naive",1
"127","99",1
"128","glad",1
"129","@swainjo",1
"130","topic",1
"131","ballr",1
"132","this",1
"133","getting",1
"134","@isabellhubert",1
"135","obvious",1
"136","didnt",1
"137","history",1
"138","0.1",1
"139","awesome",1
"140","didn't",1
"141","involve",1
"142","heard",1
"143","something",1
"144","want",1
"145","needs",1
"146","1",1
"147","@brighttalk",1
"148","map",1
"149","metrology",1
"150","@berlinrug",1
"151","#jayzhelpme",1
"152","so",1
"153","inline",1
"154","@rlangtip",1
"155","#spark",1
"156","feedback",1
"157","don't",1
"158","@quandl",1
"159","installed",1
"160","course",1
"161","dplyr",1
"162","“",1
"163","@anantcman",1
"164","20",1
"165","streetssd",1
"166","actually",1
"167","blatant",1
"168","policy",1
"169","weeks",1
"170","2016",1
"171","@sharon000",1
"172","python",1
"173","collide",1
"174","framework",1
"175","mxm",1
"176","workflows",1
"177","@m_hoehle",1
"178","day",1
"179","#ddj",1
"180","delightful",1
"181","piping",1
"182","classifier",1
"183","idea",1
"184","88",1
"185","ez",1
"186","beyond",1
"187","really",1
"188",":\",1
"189","@badams78",1
"190","🔥",1
"191","rev",1
"192","7",1
"193","got",1
"194","foundation",1
"195","#datatables",1
"196","free",1
"197","base",1
"198","@kirkdborne",1
"199","bayes",1
"200","dcast",1
"201","feasible",1
"202","cooperating",1
"203","think",1
"204","first",1
"205","variables",1
"206","fancy",1
"207","@mrmaksimize",1
"208","use-cases",1
"209","generative",1
"210","says",1
"211","you're",1
"212","@rabaath",1
"213","system",1
"214","attack",1
"215","convention",1
"216","likelihoodasy",1
"217","mining",1
"218","quandl",1
"219","tool",1
"220","@ypanagis",1
"221","here's",1
"222","gotta",1
"223","#julialang",1
"224","interactive",1
"225","and",1
"226","#nba",1
"227","sad",1
"228","”",1
"229","any",1
"230","built",1
"231","efficient",1
"232","thoroughly",1
"233","take",1
"234","🏀",1
"235","sure",1
"236","eight",1
"237","70",1
"238","face",1
"239","microsoft",1
"240","htt",1
"241","#shiny",1
"242","shot",1
"243","pkg",1
"244","participate",1
"245","knowledge",1
"246","zeligchoice",1
"247","waiting",1
"248","accurate",1
"249","do",1
"250","@gephi",1
"251","could've",1
"252","release",1
"253","x",1
"254","signify",1
"255","rmd",1
"256","corrupt",1
"257","@mdsumner",1
"258","3577",1
"259","electoral",1
"260","forecast",1
"261","rcmdrplugin.temis",1
"262","3",1
"263","checkmate",1
"264","import",1
"265","available",1
"266","profiling",1
"267","ability",1
"268","@revodavid",1
"269","@fivethirtyeight",1
"270","#odsc",1
"271","spark",1
"272","installation",1
"273","xgboost",1
"274","#cfasummit",1
"275","adapted",1
"276","forecasting",1
"277","):",1
"278","jitter",1
"279","overview",1
"280","rvg",1
"281","poll",1
"282","@neo4j",1
"283","create",1
"284","charts",1
"285","shruggie",1
"286","cgam",1
"287","last",1
"288","those",1
"289","look",1
"290","will",1
"291","connmattools",1
"292","dashboard",1
"293","error",1
"294","frustrating",1
"295","changed",1
"296","#rmarkdown",1
"297","site",1
"298","@kdnuggets",1
"299","technology",1
"300","things",1
"301","make",1
"302","@timelyportfolio",1
"303","compiling",1
"304","@genetics_blog",1
"305","independent",1
"306","used",1
"307","uses",1
"308","user",1
"309","@cranberriesfeed",1
"310","failing",1
"311","analysis",1
"312","bugzilla",1
"313","model",1
"314","🎉",1
"315","laptop",1
"316","not",1
"317","thanks",1
"318","love",1
"319","rtext",1
"320","add",1
"321","interested",1
"322","win",1
"323","input",1
"324","#journalism",1
"325","showing",1
"326","aggregation",1
"327","traffic",1
"328","know",1
"329","using",1
"330","overplotting",1
"331","output",1
"332","twitter",1
"333","tutorial",1
"334","#debate",1
"335","prop",1
"336","rismed",1
"337","@juliejossestat",1
"338","core",1
"339","noise",1
"340","ツ",1
"341","power",1
"342","👍",1
"343","bi",1
"344","zombie",1
"345","chapter",1
"346","census",1
"347","misleading",1
"348","afternoon",1
"349","clinton",1
"350","rstanarm",1
"351","ppl",1
"352","lesson",1
"353","#ml",1
"354","initial",1
"355","custom",1
"356","progra",1
"357","analyze",1
"358","properly",1
"359","trying",1
"360","bug",1
"361","posted",1
"362","wish",1
"363","us",1
"364","#msbi",1
"365","😁",1
"366","@benheubl",1
"367","@nandavijaydev",1
"368","single",1
"369","at",1
"370","functions",1
"371","@statmodeling",1
"372","book",1
"373","recognition",1
"374","spatial",1
"375","@odsc",1
"376","welcome",1
"377","problems",1
"378","includes",1
"379","modules",1
"380","rule",1
"381","@bluedata",1
"382","#algorithms",1
